Animal ID,Datetime_of_Intake,MonthYear_of_Intake,Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Name,Datetime_of_Outcome,MonthYear_of_Outcome,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Length_of_Stay
A006100,2017-12-07 14:07:00,12/7/2017 14:07,Colony Creek And Hunters Trace in Austin (TX),Stray,Normal,Neutered Male,10 years,Scamp,2017-12-07 00:00:00,12/7/2017 0:00,7/9/2007,Return to Owner,,Dog,Neutered Male,10 years,Spinone Italiano Mix,Yellow/White,-1 days +09:53:00.000000000
A483240,2013-11-30 14:30:00,11/30/2013 14:30,Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,6 years,Frassina,2013-11-16 15:58:00,11/16/2013 15:58,6/17/2007,Adoption,,Cat,Spayed Female,6 years,Domestic Longhair/Persian,Blue Cream,-14 days +01:28:00.000000000
A531739,2014-07-20 12:00:00,7/20/2014 12:00,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Bentley,2013-11-30 13:31:00,11/30/2013 13:31,2/29/2008,Adoption,,Dog,Neutered Male,5 years,Pointer Mix,White/Tan,-232 days +01:31:00.000000000
A531969,2015-11-13 12:18:00,11/13/2015 12:18,Outside Jurisdiction,Owner Surrender,Normal,Neutered Male,7 years,Black,2015-11-13 00:00:00,11/13/2015 0:00,3/6/2008,Return to Owner,,Dog,Neutered Male,7 years,Pit Bull Mix,Black/White,-1 days +11:42:00.000000000
A533243,2016-12-20 16:50:00,12/20/2016 16:50,Vargas Rd And Santos St in Austin (TX),Stray,Normal,Neutered Male,8 years,Choco,2016-12-20 00:00:00,12/20/2016 0:00,7/15/2008,Return to Owner,,Dog,Neutered Male,8 years,Labrador Retriever/Pit Bull,Chocolate,-1 days +07:10:00.000000000
A554047,2016-05-14 11:26:00,5/14/2016 11:26,Rogge Dr And Chadwyck Dr in Austin (TX),Stray,Normal,Neutered Male,6 years,Mega,2016-05-14 00:00:00,5/14/2016 0:00,7/8/2009,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/White,-1 days +12:34:00.000000000
A554047,2016-05-26 16:33:00,5/26/2016 16:33,3100 Rogge in Austin (TX),Stray,Normal,Neutered Male,6 years,Mega,2016-05-26 00:00:00,5/26/2016 0:00,7/8/2009,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/White,-1 days +07:27:00.000000000
A556804,2013-11-30 12:19:00,11/30/2013 12:19,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,Kathy,2013-11-16 16:38:00,11/16/2013 16:38,2/5/2002,Adoption,,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Black/White,-14 days +04:19:00.000000000
A601869,2013-11-08 17:21:00,11/8/2013 17:21,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,Otto,2013-10-10 12:00:00,10/10/2013 12:00,4/10/2011,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,-30 days +18:39:00.000000000
A605223,2014-07-13 18:45:00,7/13/2014 18:45,Austin (TX),Owner Surrender,Normal,Spayed Female,3 years,*Coconut,2014-07-05 18:49:00,7/5/2014 18:49,9/5/2010,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,-8 days +00:04:00.000000000
A605804,2015-03-15 15:36:00,3/15/2015 15:36,1301 Quailfield Cir in Austin (TX),Public Assist,Normal,Spayed Female,4 years,Shayla,2014-07-22 13:22:00,7/22/2014 13:22,9/13/2010,Adoption,,Dog,Spayed Female,3 years,Australian Cattle Dog Mix,White/Black,-237 days +21:46:00.000000000
A609335,2013-12-19 16:02:00,12/19/2013 16:02,Hays (TX),Owner Surrender,Normal,Neutered Male,4 years,*Churley,2013-12-16 15:31:00,12/16/2013 15:31,9/7/2009,Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,White/Tan,-4 days +23:29:00.000000000
A613553,2015-02-08 12:37:00,2/8/2015 12:37,Austin (TX),Euthanasia Request,Normal,Neutered Male,4 years,Beast,2013-10-01 12:32:00,10/1/2013 12:32,5/6/2010,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,-496 days +23:55:00.000000000
